Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","356","India","5610","Import quantity","01371","Almonds, in shell","2022","2022","t","233745.98","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01371","Almonds, in shell","2022","2022","1000 USD","967648","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01371","Almonds, in shell","2022","2022","t","316.64","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01371","Almonds, in shell","2022","2022","1000 USD","1610","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01371","Almonds, in shell","2023","2023","t","259744.07","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01371","Almonds, in shell","2023","2023","1000 USD","937912","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01371","Almonds, in shell","2023","2023","t","117.11","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01371","Almonds, in shell","2023","2023","1000 USD","835","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01371","Almonds, in shell","2024","2024","t","269521.82","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01371","Almonds, in shell","2024","2024","1000 USD","1002045","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01371","Almonds, in shell","2024","2024","t","89.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01371","Almonds, in shell","2024","2024","1000 USD","860","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21422","Almonds, shelled","2022","2022","t","6810.45","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21422","Almonds, shelled","2022","2022","1000 USD","52096","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21422","Almonds, shelled","2022","2022","t","473.12","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21422","Almonds, shelled","2022","2022","1000 USD","3023","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21422","Almonds, shelled","2023","2023","t","12159.62","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21422","Almonds, shelled","2023","2023","1000 USD","81603","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21422","Almonds, shelled","2023","2023","t","112.51","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21422","Almonds, shelled","2023","2023","1000 USD","917","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21422","Almonds, shelled","2024","2024","t","13206.98","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21422","Almonds, shelled","2024","2024","1000 USD","83942","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21422","Almonds, shelled","2024","2024","t","239.83","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21422","Almonds, shelled","2024","2024","1000 USD","1815","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21529.03","Animal oils and fats n.e.c.","2022","2022","t","0.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21529.03","Animal oils and fats n.e.c.","2022","2022","1000 USD","3","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21529.03","Animal oils and fats n.e.c.","2023","2023","t","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21529.03","Animal oils and fats n.e.c.","2023","2023","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21529.03","Animal oils and fats n.e.c.","2023","2023","t","1.31","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21529.03","Animal oils and fats n.e.c.","2023","2023","1000 USD","5","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21529.03","Animal oils and fats n.e.c.","2024","2024","t","0.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21529.03","Animal oils and fats n.e.c.","2024","2024","1000 USD","0","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21529.03","Animal oils and fats n.e.c.","2024","2024","t","3.23","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21529.03","Animal oils and fats n.e.c.","2024","2024","1000 USD","21","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","t","749.11","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","1000 USD","3038","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","t","11411.37","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2022","2022","1000 USD","23992","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","t","283.36","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","1000 USD","1411","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","t","30825.33","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2023","2023","1000 USD","47677","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","t","1069.65","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","1000 USD","2088","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","t","24722.91","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2024","2024","1000 USD","41288","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","55436.82","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","1000 USD","118306","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","256113.61","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","1000 USD","609550","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","70922.16","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","1000 USD","208775","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","293735.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","1000 USD","812132","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","36154.6","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","1000 USD","96933","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","377393.4","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","1000 USD","955219","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.01","Apple juice","2022","2022","t","38.46","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.01","Apple juice","2022","2022","1000 USD","35","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.01","Apple juice","2022","2022","t","2.51","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.01","Apple juice","2022","2022","1000 USD","1","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.01","Apple juice","2023","2023","t","81.02","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.01","Apple juice","2023","2023","1000 USD","101","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.01","Apple juice","2023","2023","t","15.33","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.01","Apple juice","2023","2023","1000 USD","12","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.01","Apple juice","2024","2024","t","113.11","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.01","Apple juice","2024","2024","1000 USD","125","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.01","Apple juice","2024","2024","t","32.85","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.01","Apple juice","2024","2024","1000 USD","37","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.02","Apple juice, concentrated","2022","2022","t","10006.46","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.02","Apple juice, concentrated","2022","2022","1000 USD","11180","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.02","Apple juice, concentrated","2022","2022","t","106.45","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.02","Apple juice, concentrated","2022","2022","1000 USD","215","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.02","Apple juice, concentrated","2023","2023","t","1701.75","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.02","Apple juice, concentrated","2023","2023","1000 USD","2508","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.02","Apple juice, concentrated","2023","2023","t","116.63","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.02","Apple juice, concentrated","2023","2023","1000 USD","251","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","21435.02","Apple juice, concentrated","2024","2024","t","1900.03","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","21435.02","Apple juice, concentrated","2024","2024","1000 USD","2838","A","Official value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","21435.02","Apple juice, concentrated","2024","2024","t","313.83","A","Official value",""
"TCL","Crops and livestock products","356","India","5922","Export value","21435.02","Apple juice, concentrated","2024","2024","1000 USD","557","A","Official value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","01341","Apples","2022","2022","t","392482.87","A","Official value",""
"TCL","Crops and livestock products","356","India","5622","Import value","01341","Apples","2022","2022","1000 USD","314345","A","Official value",""
